Average Market Capitalization of listed companies during the six months ended 30 June 2020,,,,,,,,,,
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2510,PALM JEWELS LIMITED,INE838Z01012,PALMJEWELS,17.31,,,,, 17.31 ,Small Cap
2511,POPULAR ESTATE MANAGEMENT LTD,INE370C01015,POPULARES,17.30,,,,, 17.30 ,Small Cap
2512,"WIRES & FABRIKS (SA) LTD.,",INE469D01013,WIREFABR,17.29,,,,, 17.29 ,Small Cap
2513,HARDWYN INDIA LIMITED,INE626Z01011,HARDWYN,17.26,,,,, 17.26 ,Small Cap
2514,SURYA INDUSTRIAL CORPORATION LTD.,INE060N01019,SURINDL,17.20,,,,, 17.20 ,Small Cap
2515,PRATIBHA INDUSTRIES LTD.,INE308H01022,PRATIBHA,17.18,,,,, 17.18 ,Small Cap
2516,CG-VAK SOFTWARE & EXPORTS LTD.,INE084D01010,CGVAK,17.15,,,,, 17.15 ,Small Cap
2517,ACKNIT INDUSTRIES LTD,INE326C01017,ACKNIT,17.14,,,,, 17.14 ,Small Cap
2518,VMS INDUSTRIES LIMITED,INE932K01015,VMS,17.13,,,,, 17.13 ,Small Cap
2519,PURPLE ENTERTAINMENT LIMITED,INE905R01016,PURPLE,17.13,,,,, 17.13 ,Small Cap
2520,TRANSCHEM LIMITED.,INE019B01010,TRANSCHEM,17.11,,,,, 17.11 ,Small Cap
2521,SIDDHARTH EDUCATION SERVICES LIMITED,INE930X01012,SIDDH,17.11,,,,, 17.11 ,Small Cap
2522,MISQUITA ENGINEERING LIMITED,INE957W01025,MISQUITA,17.09,,,,, 17.09 ,Small Cap
2523,SIR SHADI LAL ENTERPRISES LTD,INE117H01019,SSLEL,17.07,,,,, 17.07 ,Small Cap
2524,KRISHNA VENTURES LIMITED,INE537L01010,KRISHNA,17.04,,,,, 17.04 ,Small Cap
2525,SUMEET INDUSTRIES LTD,INE235C01010,SUMEETINDS,17.16,SUMEETINDS, 16.86 ,,, 17.01 ,Small Cap
2526,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD.,INE197J01017,LPDC,17.69,LPDC, 16.20 ,,, 16.94 ,Small Cap
2527,KPT INDUSTRIES LIMITED,INE731D01024,KPT,16.94,,,,, 16.94 ,Small Cap
2528,AREX INDUSTRIES LTD.,INE480H01011,AREXMIS,16.94,,,,, 16.94 ,Small Cap
2529,JIGAR CABLES LIMITED,INE943X01015,JIGAR,16.92,,,,, 16.92 ,Small Cap
2530,ANGLO-FRENCH DRUGS & INDUSTRIES LIMITED,INE570E01016,,,,,AFDIL, 16.91 , 16.91 ,Small Cap
2531,ALPINE HOUSING DEVELOPMENT CORPORAT,INE840D01015,ALPINEHOU,16.91,,,,, 16.91 ,Small Cap
2532,SAGAR DIAMONDS LIMITED,INE146Y01013,SAGAR,16.91,,,,, 16.91 ,Small Cap
2533,AMRAPALI INDUSTRIES LTD,INE762C01021,AMRAPLIN,16.87,,,,, 16.87 ,Small Cap
2534,POONA DAL AND OIL INDUSTRIES LTD.,INE809E01018,POONADAL,16.83,,,,, 16.83 ,Small Cap
2535,PROVOGUE (INDIA) LTD.,INE968G01033,PROVOGE,16.80,,,,, 16.80 ,Small Cap
2536,WILLIAM MAGOR & COMPANY LIMITED,INE210A01017,WILLAMAGOR,17.27,WILLAMAGOR, 16.32 ,,, 16.80 ,Small Cap
2537,ALACRITY SECURITIES LIMITED,INE030P01017,ALSL,16.79,,,,, 16.79 ,Small Cap
2538,BRAND REALTY SERVICES LIMITED,INE819G01012,BRANDREAL,16.76,,,,, 16.76 ,Small Cap
2539,JET INFRAVENTURE LIMITED,INE155R01018,JETINFRA,16.75,,,,, 16.75 ,Small Cap
2540,HCKK VENTURES LIMITED,INE345Q01017,HCKKVENTURE,16.70,,,,, 16.70 ,Small Cap
2541,DJ MEDIAPRINT & LOGISTICS LIMITED,INE0B1K01014,DJML,16.69,,,,, 16.69 ,Small Cap
2542,"SARASWATI COMMERCIAL (INDIA) LTD.,",INE967G01019,ZSARACOM,16.68,,,,, 16.68 ,Small Cap
2543,SHARDA ISPAT LTD.,INE385M01012,SHRDAIS,16.62,,,,, 16.62 ,Small Cap
2544,SHETRON LTD.,INE278C01010,SHETR,16.61,,,,, 16.61 ,Small Cap
2545,UNISON METALS LTD,INE099D01018,UNISON,16.61,,,,, 16.61 ,Small Cap
2546,BIL ENERGY SYSTEMS LIMITED,INE607L01029,BILENERGY,16.70,BILENERGY, 16.48 ,,, 16.59 ,Small Cap
2547,MARVEL VINYLS LTD,INE345L01018,MARVINY,16.59,,,,, 16.59 ,Small Cap
2548,TIJARIA POLYPIPES LIMITED,INE440L01017,TIJARIA,16.64,TIJARIA, 16.49 ,,, 16.57 ,Small Cap
2549,SIMPLEX CASTINGS LTD.,INE658D01011,SIMPLEXCAS,16.56,,,,, 16.56 ,Small Cap
2550,"VICTORIA MILLS LTD.,",INE203D01016,VICTMILL,16.53,,,,, 16.53 ,Small Cap
2551,N.G.INDUSTRIES LTD.,INE825C01018,NGIND,16.53,,,,, 16.53 ,Small Cap
2552,SIBAR AUTO PARTS LTD.,INE441C01014,SIBARAUT,16.49,,,,, 16.49 ,Small Cap
2553,SPENTA INTERNATIONAL LTD.,INE175C01018,SPENTA,16.46,,,,, 16.46 ,Small Cap
2554,OMKAR PHARMACHEM LTD.,INE501C01015,OMKARPH,16.46,,,,, 16.46 ,Small Cap
2555,KAUSAMBI VANIJYA LIMITED,INE223P01026,KAUSAMBI,16.45,,,,, 16.45 ,Small Cap
2556,ODYSSEY TECHNOLOGIES LTD.,INE213B01019,ODYSSEY,16.41,,,,, 16.41 ,Small Cap
2557,DHANLAXMI FABRICS LTD.,INE953D01016,DHANFAB,16.36,,,,, 16.36 ,Small Cap
2558,SANGAM HEALTH CARE PRODUCTS LTD.,INE431E01011,SANHP,16.35,,,,, 16.35 ,Small Cap
2559,AMRAPALI FINCAP LIMITED,INE990S01016,AMRAFIN,16.34,,,,, 16.34 ,Small Cap
2560,CIL NOVA PETROCHEMICALS LIMITED,INE672K01025,CNOVAPETRO,15.56,CNOVAPETRO, 17.10 ,,, 16.33 ,Small Cap
2561,"RAS RESORTS & APART HOTELS LTD.,",INE651D01016,RASRESOR,16.31,,,,, 16.31 ,Small Cap
2562,DIVINUS FABRICS LIMITED,INE478P01018,DIVINUS,16.27,,,,, 16.27 ,Small Cap
2563,GOLDSTONE TECHNOLOGIES LTD.,INE805A01014,GOLDTECH,16.26,GOLDTECH, 16.25 ,,, 16.25 ,Small Cap
2564,RCL RETAIL LIMITED,INE892L01019,RCRL,16.25,,,,, 16.25 ,Small Cap
2565,VIRAT LEASING LIMITED,INE347L01014,VLL,16.23,,,,, 16.23 ,Small Cap
2566,DYNAVISION LIMITED,INE083E01010,DYNAVSN,16.22,,,,, 16.22 ,Small Cap
2567,"JINDAL HOTELS LTD.,",INE726D01016,JINDHOT,16.21,,,,, 16.21 ,Small Cap
2568,SUNIL HITECH ENGINEERS LIMITED,INE305H01028,SUNILHITEC,16.21,,,,, 16.21 ,Small Cap
2569,"WILLARD INDIA LTD.,",INE481D01018,WILLARD,16.18,,,,, 16.18 ,Small Cap
2570,VALIANT COMMUNICATIONS LTD.,INE760B01019,VALIANT,16.13,,,,, 16.13 ,Small Cap
2571,V R FILMS & STUDIOS LIMITED,INE06LG01010,VRFILMS,16.09,,,,, 16.09 ,Small Cap
2572,CHARTERED CAPITAL & INVESTMENT LTD.,INE953B01010,CHRTEDCA,16.08,,,,, 16.08 ,Small Cap
2573,WAGEND INFRA VENTURE LIMITED,INE786K01023,WAGEND,16.06,,,,, 16.06 ,Small Cap
2574,AMBA ENTERPRISES LTD.,INE829P01020,AEL,16.04,,,,, 16.04 ,Small Cap
2575,ANUBHAV INFRASTRUCTURE LIMITED,INE891N01017,ANUBHAV,16.02,,,,, 16.02 ,Small Cap
2576,JITF INFRALOGISTICS LIMITED,INE863T01013,JITFINFRA,16.51,JITFINFRA, 15.51 ,,, 16.01 ,Small Cap
2577,JOINTECA EDUCATION SOLUTIONS LIMITED,INE131N01018,JOINTECAED,15.99,,,,, 15.99 ,Small Cap
2578,SHRI NIWAS LEASING AND FINANCE LIMITED,INE201F01015,SHRINIWAS,15.99,,,,, 15.99 ,Small Cap
2579,SOMI CONVEYOR BELTINGS LIMITED,INE323J01019,SOMICONV,16.13,SOMICONVEY, 15.85 ,,, 15.99 ,Small Cap
2580,NEL HOLDINGS LIMITED,INE639K01016,NEH,15.97,,,,, 15.97 ,Small Cap
2581,"NATIONAL OXYGEN LTD.,",INE296D01010,NOL,15.95,,,,, 15.95 ,Small Cap
2582,DANLAW TECHNOLOGIES INDIA LTD.,INE310B01013,DANLAW,15.90,,,,, 15.90 ,Small Cap
2583,ABM INTERNATIONAL LTD.,INE251C01017,,,ABMINTLTD, 15.90 ,,, 15.90 ,Small Cap
2584,TCM LTD.,INE034F01010,TCMLMTD,15.89,,,,, 15.89 ,Small Cap
2585,SONI MEDICARE LIMITED,INE848R01018,SML,15.88,,,,, 15.88 ,Small Cap
2586,TINNA TRADE LIMITED,INE401Z01019,TINNATFL,15.84,,,,, 15.84 ,Small Cap
2587,"RAPICUT CARBIDES LTD.,",INE350D01015,RAPICUT,15.83,,,,, 15.83 ,Small Cap
2588,LANCOR HOLDINGS LTD.,INE572G01025,LANCORHOL,15.83,,,,, 15.83 ,Small Cap
2589,SILVERPOINT INFRATECH LIMITED,INE890N01019,SILINFRA,15.83,,,,, 15.83 ,Small Cap
2590,HARYANA CAPFIN LTD.,INE928H01019,HARYNACAP,15.78,,,,, 15.78 ,Small Cap
2591,EON ELECTRIC LTD,INE076H01025,EON,15.53,EON, 15.97 ,,, 15.75 ,Small Cap
2592,ACTIVE CLOTHING CO  LIMITED,INE380Z01015,ACTIVE,15.72,,,,, 15.72 ,Small Cap
2593,GOLD LINE INTERNATIONAL FINVEST LIMITED,INE204P01026,GOLDLINE,15.71,,,,, 15.71 ,Small Cap
2594,ANGEL FIBERS LIMITED,INE339Z01011,ANGEL,15.70,,,,, 15.70 ,Small Cap
2595,BHANDARI HOSIERY EXPORTS LTD.,INE474E01029,BHANDHOS,15.73,BHANDARI, 15.59 ,,, 15.66 ,Small Cap
2596,FEDDERS ELECTRIC AND ENGINEERING LIMITED,INE249C01011,FEDDERELEC,15.63,,,,, 15.63 ,Small Cap
2597,CAMEX  LTD.,INE198C01010,CAMEXLTD,15.62,,,,, 15.62 ,Small Cap
2598,WAA SOLAR LIMITED,INE799N01012,WAA,15.58,,,,, 15.58 ,Small Cap
2599,"MANGALAM TIMBER PRODUCTS LTD.,",INE805B01012,MANGTIMBER,15.74,MANGTIMBER, 15.34 ,,, 15.54 ,Small Cap
2600,SWARNSARITA GEMS LIMITED,INE967A01012,SWARNSAR,15.48,,,,, 15.48 ,Small Cap
2601,PADMANABH ALLOYS & POLYMERS LTD.,INE630U01014,PADALPO,15.48,,,,, 15.48 ,Small Cap
2602,HB PORTFOLIO LTD.,INE638B01025,HBPOR,15.42,,,,, 15.42 ,Small Cap
2603,RONI HOUSEHOLDS LIMITED,INE02AP01013,RONI,15.36,,,,, 15.36 ,Small Cap
2604,BALKRISHNA PAPER MILLS LTD,INE875R01011,BALKRISHNA,15.51,BALKRISHNA, 15.21 ,,, 15.36 ,Small Cap
2605,GARMENT MANTRA LIFESTYLE LIMITED,INE653S01010,GARMNTMNTR,15.32,,,,, 15.32 ,Small Cap
2606,PUNJAB COMMUNICATIONS LIMITED,INE609A01010,PUNJCOMMU,15.28,,,,, 15.28 ,Small Cap
2607,RAVI KUMAR DISTILLERIES LIMITED,INE722J01012,RKDL,15.41,RKDL, 15.14 ,,, 15.28 ,Small Cap
2608,NAGREEKA EXPORTS LTD.,INE123B01028,NAGREEKEXP,15.28,NAGREEKEXP, 15.20 ,,, 15.24 ,Small Cap
2609,IGC INDUSTRIES LIMITED,INE099S01016,IGCIL,15.24,,,,, 15.24 ,Small Cap
2610,FLEXITUFF VENTURES INTERNATIONAL LIMITED,INE060J01017,FLEXITUFF,16.03,FLEXITUFF, 14.42 ,,, 15.23 ,Small Cap
2611,LAFFAN SOFTWARE LIMITED,INE991F01011,,,,,LAFFANSOFT, 15.22 , 15.22 ,Small Cap
2612,NATIONAL GENERAL INDUSTRIES LTD.,INE654H01011,NATGENI,15.18,,,,, 15.18 ,Small Cap
2613,DIAMOND POWER INFRASTRUCTURE LIMITED,INE989C01012,DIAPOWER,15.05,DIAPOWER, 15.26 ,,, 15.16 ,Small Cap
2614,PMC FINCORP LIMITED,INE793G01035,PMCFIN,15.14,,,,, 15.14 ,Small Cap
2615,AANCHAL ISPAT LIMITED,INE322R01014,AANCHALISP,15.14,,,,, 15.14 ,Small Cap
2616,"TRADE WINGS LTD.,",INE961E01017,TRADWIN,15.12,,,,, 15.12 ,Small Cap
2617,NIMBUS PROJECTS LIMITED,INE875B01015,NIMBSPROJ,15.04,,,,, 15.04 ,Small Cap
2618,VMV HOLIDAYS LIMITED,INE451S01019,VMV,15.02,,,,, 15.02 ,Small Cap
2619,SAI INDUSTRIES LTD.,INE213S01013,SAINDUS,15.00,,,,, 15.00 ,Small Cap
2620,ADVANCE METERING TECHNOLOGY LIMITED,INE436N01029,AMTL,14.99,,,,, 14.99 ,Small Cap
2621,ASSAM ENTRADE LIMITED,INE165G01010,ASSAMENT,14.97,,,,, 14.97 ,Small Cap
2622,TERRASCOPE VENTURES LIMITED,INE346M01022,TERRASCOPE,14.90,,,,, 14.90 ,Small Cap
2623,KGN ENTERPRISES LIMITED,INE755B01019,KGNENT,14.90,,,,, 14.90 ,Small Cap
2624,HARI GOVIND INTERNATIONAL LTD.,INE167F01018,HARIGOV,14.88,,,,, 14.88 ,Small Cap
2625,PACT INDUSTRIES LTD.,INE494K01024,PACT,14.85,,,,, 14.85 ,Small Cap
2626,KCD INDUSTRIES INDIA LIMITED,INE185U01027,KCDGROUP,14.85,,,,, 14.85 ,Small Cap
2627,MERIT CREDIT CORPORATION LIMITED,INE023D01018,,,,,MERIT, 14.82 , 14.82 ,Small Cap
2628,CONSECUTIVE INVESTMENTS & TRADING COMPANY LIMITED,INE187R01011,CITL,14.81,,,,, 14.81 ,Small Cap
2629,CASTEX TECHNOLOGIES LIMITED,INE068D01021,CASTEXTECH,13.91,CASTEXTECH, 15.69 ,,, 14.80 ,Small Cap
2630,"SOLID CONTAINERS LTD.,",INE134U01017,SOLIDCO,14.78,,,,, 14.78 ,Small Cap
2631,RISHI TECHTEX LIMITED,INE989D01010,RISHITECH,14.75,,,,, 14.75 ,Small Cap
2632,RANJEET MECHATRONICS LIMITED,INE01A501019,RANJEET,14.74,,,,, 14.74 ,Small Cap
2633,KHANDWALA SECURITIES LTD.,INE060B01014,KHANDSE,14.68,KHANDSE, 14.78 ,,, 14.73 ,Small Cap
2634,WALCHAND PEOPLEFIRST LIMITED,INE695D01021,WALCHPF,14.73,,,,, 14.73 ,Small Cap
2635,RR METALMAKERS INDIA LIMITED,INE117K01013,RRMETAL,14.73,,,,, 14.73 ,Small Cap
2636,ACME RESOURCES LIMITED,INE636B01011,ACME,14.72,,,,, 14.72 ,Small Cap
2637,NATURAL BIOCON (INDIA) LIMITED,INE06MM01016,NATURAL ,14.69,,,,, 14.69 ,Small Cap
2638,TINNA RUBBER AND INFRASTRUCTURE LIMITED,INE015C01016,TINNARUBR,14.66,,,,, 14.66 ,Small Cap
2639,INANI MARBLES & INDUSTRIES LTD.,INE635D01027,INANI,14.66,,,,, 14.66 ,Small Cap
2640,SPECTRUM FOODS LIMITED,INE547C01018,SPECFOOD,14.64,,,,, 14.64 ,Small Cap
2641,PRO FIN CAPITAL SERVICES LTD,INE732K01019,PROFINC,14.62,,,,, 14.62 ,Small Cap
2642,JETKING INFOTRAIN LTD.,INE919C01019,JETKINGQ,14.60,,,,, 14.60 ,Small Cap
2643,BS LIMITED,INE043K01029,BSLIMITED,14.58,,,,, 14.58 ,Small Cap
2644,KANCO TEA & INDUSTRIES LIMITED,INE398L01017,KANCOTEA,14.55,,,,, 14.55 ,Small Cap
2645,ARIHANT FOUNDATIONS & HOUSING LTD.,INE413D01011,ARIHANT,14.88,ARIHANT, 14.22 ,,, 14.55 ,Small Cap
2646,IMP POWER LTD.,INE065B01013,INDLMETER,14.42,INDLMETER, 14.54 ,,, 14.48 ,Small Cap
2647,TIAAN AYURVEDIC & HERBS LIMITED,INE864T01011,TAHL,14.47,,,,, 14.47 ,Small Cap
2648,SAVEN TECHNOLOGIES LTD.,INE856B01023,7TEC,14.46,,,,, 14.46 ,Small Cap
2649,IND-SWIFT LTD.,INE788B01028,INDSWFTLTD,14.29,INDSWFTLTD, 14.60 ,,, 14.45 ,Small Cap
2650,LERTHAI FINANCE LIMITED,INE347D01011,LERTHAI,14.44,,,,, 14.44 ,Small Cap
2651,"KARTIK INVESTMENTS TRUST LTD.,",INE524U01019,KARTKIN,14.40,,,,, 14.40 ,Small Cap
2652,RATHI BARS LIMITED,INE575I01016,RATHIBAR,14.39,,,,, 14.39 ,Small Cap
2653,"AMALGAMATED ELECTRICITY CO. LTD.,",INE492N01022,AMALGAM,14.31,,,,, 14.31 ,Small Cap
2654,POLYCHEM LTD,INE752B01024,POLYCHEM,14.29,,,,, 14.29 ,Small Cap
2655,SIMPLEX PROJECTS LIMITED,INE898F01018,SIMPLEX,14.28,,,,, 14.28 ,Small Cap
2656,SKP SECURITIES LTD.,INE709B01016,SKPSEC,14.27,,,,, 14.27 ,Small Cap
2657,RANDER CORPORATION LTD.,INE821D01031,RANDER,14.27,,,,, 14.27 ,Small Cap
2658,PRIME URBAN DEVELOPMENT INDIA LTD,INE419E01024,PRIMEURB,14.24,,,,, 14.24 ,Small Cap
2659,"ASIAN FOOD PRODUCTS LTD.,",INE04VT01017,ASIFOOD,14.22,,,,, 14.22 ,Small Cap
2660,MEDINOVA DIAGNOSTIC SERVICES LTD.,INE047C01019,MEDINOV,14.22,,,,, 14.22 ,Small Cap
2661,"KAPASHI COMMERCIALS LTD.,",INE017I01019,KAPASHI,14.21,,,,, 14.21 ,Small Cap
2662,JAY MAHESH INFRAVENTURES LTD.,INE984L01014,JAYMAHESH,14.21,,,,, 14.21 ,Small Cap
2663,ZENITH FIBRES LIMITED,INE106C01013,ZENIFIB,14.18,,,,, 14.18 ,Small Cap
2664,CHADHA PAPERS LTD.,INE669W01018,CHADPAP,14.15,,,,, 14.15 ,Small Cap
2665,EASTERN GASES LIMITED,INE846C01014,EASTERNGAS,14.15,,,,, 14.15 ,Small Cap
2666,INTERNATIONAL HOUSING FINANCE CORPO,INE903G01014,INTERHG,14.14,,,,, 14.14 ,Small Cap
2667,SHAH ALLOYS LIMITED,INE640C01011,SHAHALLOYS,14.31,SHAHALLOYS, 13.91 ,,, 14.11 ,Small Cap
2668,INTEGRATED FINANCIAL SERVICES LTD.,INE898B01017,IFSL,14.07,,,,, 14.07 ,Small Cap
2669,ASHNOOR TEXTILES MILLS LTD.,INE372I01018,ASHNOOR,14.07,,,,, 14.07 ,Small Cap
2670,MIC ELECTRONICS LIMITED,INE287C01029,MIC,13.98,MIC, 14.16 ,,, 14.07 ,Small Cap
2671,"ENBEE TRADE & FINANCE LTD.,",INE993I01011,ENBETRD,14.04,,,,, 14.04 ,Small Cap
2672,GALACTICO CORPORATE SERVICES LIMITED,INE906Y01010,GALACTICO,14.04,,,,, 14.04 ,Small Cap
2673,INFOMEDIA PRESS LIMITED,INE669A01022,INFOMEDIA,9.02,INFOMEDIA, 19.04 ,,, 14.03 ,Small Cap
2674,WELCON INTERNATIONAL LIMITED,INE873S01022,WELCON,14.02,,,,, 14.02 ,Small Cap
2675,LAKSHMI FINANCE & INDUSTRIAL CORPORATION LTD.,INE850E01012,,,LFIC, 14.01 ,,, 14.01 ,Small Cap
2676,FINE-LINE CIRCUITS LTD.,INE087E01011,FINELINE,13.97,,,,, 13.97 ,Small Cap
2677,OCEAN AGRO (INDIA) LIMITED,INE049J01010,OCEAGRO,13.97,,,,, 13.97 ,Small Cap
2678,COMFORT INTECH LTD,INE819A01031,COMFINTE,13.97,,,,, 13.97 ,Small Cap
2679,HB ESTATE DEVELOPERS LTD.,INE640B01021,HBESD,13.94,,,,, 13.94 ,Small Cap
2680,KILBURN CHEMICALS LTD.,INE655C01027,KILBURNC,13.93,,,,, 13.93 ,Small Cap
2681,KENVI JEWELS LIMITED,INE923Y01015,KENVI,13.93,,,,, 13.93 ,Small Cap
2682,NRB INDUSTRIAL BEARINGS LIMITED,INE047O01014,NIBL,14.47,NIBL, 13.36 ,,, 13.92 ,Small Cap
2683,PALRED TECHNOLOGIES LIMITED,INE218G01033,PALRED,14.00,PALREDTEC, 13.82 ,,, 13.91 ,Small Cap
2684,KARMA ENERGY LIMITED,INE725L01011,KARMAENG,14.42,KARMAENG, 13.39 ,,, 13.91 ,Small Cap
2685,SUMEDHA FISCAL SERVICES LTD.,INE886B01012,SUMEDHA,13.89,,,,, 13.89 ,Small Cap
2686,PARNAX LAB LIMITED,INE383L01019,PARNAXLAB,13.87,,,,, 13.87 ,Small Cap
2687,R J BIO-TECH LIMITED,INE594O01015,RJBIOTECH,13.84,,,,, 13.84 ,Small Cap
2688,COSYN LIMITED,INE029B01019,COSYN,13.78,,,,, 13.78 ,Small Cap
2689,GEM SPINNERS INDIA LTD,INE165F01020,GEMSPIN,13.67,,,,, 13.67 ,Small Cap
2690,"SMIFS CAPITAL MARKETS LTD.,",INE641A01013,SMIFS,13.65,,,,, 13.65 ,Small Cap
2691,HALDER VENTURE LIMITED,INE115S01010,HALDER,13.65,,,,, 13.65 ,Small Cap
2692,ZODIAC-JRD-MKJ LTD.,INE077B01018,ZODJRDMKJ,13.83,ZODJRDMKJ, 13.41 ,,, 13.62 ,Small Cap
2693,"BARODA RAYON CORPN. LTD.,",INE461A01016,BARODARY,13.61,,,,, 13.61 ,Small Cap
2694,APT PACKAGING LTD,INE046E01017,APTPACK,13.61,,,,, 13.61 ,Small Cap
2695,JINDAL PHOTO LIMITED,INE796G01012,JINDALPHOT,13.71,JINDALPHOT, 13.49 ,,, 13.60 ,Small Cap
2696,POCL ENTERPRISES LTD,INE035S01010,POEL,13.60,,,,, 13.60 ,Small Cap
2697,MAXIMAA SYSTEMS LTD.,INE161B01036,MAXIMAA,14.51,,,MAXIMAA,12.61, 13.56 ,Small Cap
2698,AJCON GLOBAL SERVICES LTD.,INE759C01019,AJCON,13.55,,,,, 13.55 ,Small Cap
2699,AGARWAL DUPLEX BOARD MILLS LIMITED,INE290T01019,,,,,ADBML, 13.50 , 13.50 ,Small Cap
2700,SURYAAMBA SPINNING MILLS LIMITED,INE360J01011,SURYAAMBA,13.45,,,,, 13.45 ,Small Cap
2701,TARANG PROJECTS AND CONSULTANT LIMITED.,INE538P01019,TARANG,13.45,,,,, 13.45 ,Small Cap
2702,RAJSANKET REALTY LIMITED,INE314F01016,RAJSAN,13.41,,,,, 13.41 ,Small Cap
2703,AJWA FUN WORLD & RESORTS LTD,INE863E01015,AJWAFUN,13.41,,,,, 13.41 ,Small Cap
2704,NEERAJ PAPER MARKETING LIMITED,INE894J01019,NEERAJ,13.39,,,,, 13.39 ,Small Cap
2705,"MONOTYPE INDIA LTD.,",INE811D01024,MONOT,13.36,,,,, 13.36 ,Small Cap
2706,RAJ OIL MILLS LIMITED,INE294G01018,RAJOIL,13.35,,,,, 13.35 ,Small Cap
2707,NIRMITEE ROBOTICS INDIA LIMITED,INE0CPQ01010,NIRMITEE,13.34,,,,, 13.34 ,Small Cap
2708,QUANTUM BUILD-TECH LIMITED,INE222B01028,QUANTBUILD,13.31,,,,, 13.31 ,Small Cap
2709,SKY INDUSTRIES LTD,INE765B01018,SKYIND,13.29,,,,, 13.29 ,Small Cap
2710,PANORAMIC UNIVERSAL LIMITED,INE194B01029,PANORAMUNI,13.29,,,,, 13.29 ,Small Cap
2711,KRYPTON INDUSTRIES LTD,INE951B01014,KRYPTONQ,13.28,,,,, 13.28 ,Small Cap
2712,CALIFORNIA SOFTWARE CO. LTD.,INE526B01014,CALSOFT,13.34,CALSOFT, 13.21 ,,, 13.27 ,Small Cap
2713,"SHREE BHAWANI PAPER MILLS LTD.,",INE688C01010,SHBHAWPA,13.24,,,,, 13.24 ,Small Cap
2714,SUN TECHNO OVERSEAS LTD,INE703D01023,SUNTECHNO,13.24,,,,, 13.24 ,Small Cap
2715,DIANA TEA CO.LTD.,INE012E01035,DIANATEA,13.23,,,,, 13.23 ,Small Cap
2716,PENTAMEDIA GRAPHICS LTD,INE202A01022,PENTAGRAPH,13.19,,,,, 13.19 ,Small Cap
2717,NATIONAL STANDARD (INDIA) LIMITED,INE166R01015, NATIONSTD,13.18,,,,, 13.18 ,Small Cap
2718,JLA INFRAVILLE SHOPPERS LIMITED,INE401Q01018,JSHL,13.15,,,,, 13.15 ,Small Cap
2719,SILVERLINE TECHNOLOGIES LTD.,INE368A01021,SILVERLINE,13.14,,,,, 13.14 ,Small Cap
2720,KMG MILK FOOD LIMITED,INE873N01015,KMGMILK,13.13,,,,, 13.13 ,Small Cap
2721,DYNAMIC INDUSTRIES LTD.,INE457C01010,DYNAMIND,13.13,,,,, 13.13 ,Small Cap
2722,"MEDI-CAPS LTD.,",INE442D01010,MEDICAPQ,13.12,,,,, 13.12 ,Small Cap
2723,ELEGANT FLORICULTURE & AGROTECH (IN,INE152E01013,ELEFLOR,13.12,,,,, 13.12 ,Small Cap
2724,PATSPIN INDIA LTD.,INE790C01014,PATSPINLTD,14.85,PATSPINLTD, 11.33 ,,, 13.09 ,Small Cap
2725,TWENTYFIRST CENTURY MANAGEMENT SERV,INE253B01015,21STCENMGM,13.38,21STCENMGM, 12.79 ,,, 13.09 ,Small Cap
2726,MARTIN BURN LTD,INE199D01016,MARBU,13.05,,,,, 13.05 ,Small Cap
2727,INTELLIVATE CAPITAL ADVISORS LIMITED,INE176N01021,INTELLADV,13.05,,,,, 13.05 ,Small Cap
2728,RITHWIK FACILITY MANAGEMENT SERVICES LIMITED,INE819Y01015,RITHWIKFMS,13.05,,,,, 13.05 ,Small Cap
2729,FANCY FITTINGS LIMITED,INE240F01013,,,,,FFL, 13.03 , 13.03 ,Small Cap
2730,INDO-GLOBAL ENTERPRISES LIMITED,INE400S01016,INDOGLOBAL,12.99,,,,, 12.99 ,Small Cap
2731,CENTENIAL SURGICAL SUTURE LTD.,INE405H01018,CSURGSU,12.98,,,,, 12.98 ,Small Cap
2732,TAMILNADU STEEL TUBES LTD.,INE176E01012,TNSTLTU,12.97,,,,, 12.97 ,Small Cap
2733,SUN GRANITE EXPORT LIMITED,INE032M01010,SUNGRAN,12.94,,,,, 12.94 ,Small Cap
2734,SIMRAN FARMS LTD.,INE354D01017,SIMRAN,12.93,,,,, 12.93 ,Small Cap
2735,TRC FINANCIAL SERVICES LTD.,INE759D01017,TRCFIN,12.92,,,,, 12.92 ,Small Cap
2736,HIMALAYA GRANITES LTD.,INE464C01024,HIMGRANI,12.90,,,,, 12.90 ,Small Cap
2737,PRISM FINANCE LTD.,INE429Q01019,PRISMFN,12.90,,,,, 12.90 ,Small Cap
2738,VIVID GLOBAL INDUSTRIES LIMITED,INE737C01023,VIVIDIND,12.88,,,,, 12.88 ,Small Cap
2739,TRINITY TRADELINK LIMITED,INE567D01022,TRITRADE,12.87,,,,, 12.87 ,Small Cap
2740,TULIP STAR HOTELS LTD.,INE379C01016,TULIPSTA,12.84,,,,, 12.84 ,Small Cap
